name,measure,measure_info,place,data_value,year
Nitrogen dioxide (NO2),Mean,ppb,East New York,19.09,2015
Nitrogen dioxide (NO2),Mean,ppb,East New York,13.39,2017
Nitrogen dioxide (NO2),Mean,ppb,East New York,11.97,2018
Nitrogen dioxide (NO2),Mean,ppb,Bronx,19.8,2013
Nitrogen dioxide (NO2),Mean,ppb,East New York,30.26,2010
Nitrogen dioxide (NO2),Mean,ppb,East New York,24.99,2014
Nitrogen dioxide (NO2),Mean,ppb,East New York,16.12,2021
Nitrogen dioxide (NO2),Mean,ppb,Bronx,13.62,2018
Nitrogen dioxide (NO2),Mean,ppb,Bronx,13.16,2020
Nitrogen dioxide (NO2),Mean,ppb,Bronx,24.39,2009
Nitrogen dioxide (NO2),Mean,ppb,Bronx,14.97,2017
Nitrogen dioxide (NO2),Mean,ppb,East New York,19.75,2013
Nitrogen dioxide (NO2),Mean,ppb,East New York,14.16,2014
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,25.18,2015
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,20.54,2020
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,30.87,2009
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,28.69,2014
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,28.62,2017
Nitrogen dioxide (NO2),Mean,ppb,Bronx,25.87,2013
Nitrogen dioxide (NO2),Mean,ppb,Bronx,13.14,2019
Nitrogen dioxide (NO2),Mean,ppb,East New York,25.3,2012
Nitrogen dioxide (NO2),Mean,ppb,East New York,20.67,2011
Nitrogen dioxide (NO2),Mean,ppb,Bronx,19.42,2010
Nitrogen dioxide (NO2),Mean,ppb,East New York,16.61,2012
Nitrogen dioxide (NO2),Mean,ppb,East New York,16.61,2013
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,24.71,2013
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,16.37,2021
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,31.61,2012
Nitrogen dioxide (NO2),Mean,ppb,East New York,30.02,2008
Nitrogen dioxide (NO2),Mean,ppb,East New York,13.88,2015
